aX,aY,aZ
0.259,-1.677,0.453
0.221,-1.691,0.447
0.203,-1.697,0.438
0.17,-1.699,0.435
0.158,-1.697,0.44
0.128,-1.685,0.447
0.115,-1.675,0.477
0.095,-1.648,0.499
0.092,-1.616,0.55
0.095,-1.598,0.577
0.099,-1.561,0.63
0.111,-1.541,0.679
0.129,-1.5,0.707
0.144,-1.472,0.766
0.183,-1.431,0.793
0.205,-1.377,0.842
0.241,-1.351,0.864
0.273,-1.305,0.895
0.283,-1.282,0.915
0.295,-1.233,0.923
0.294,-1.206,0.929
0.309,-1.149,0.93
0.308,-1.1,0.918
0.314,-1.071,0.913
0.315,-1.027,0.876
0.319,-0.996,0.873
0.304,-0.917,0.853
0.292,-0.887,0.801
0.274,-0.836,0.784
0.269,-0.801,0.764
0.258,-0.719,0.769
0.244,-0.685,0.7
0.231,-0.615,0.703
0.226,-0.515,0.741
0.186,-0.484,0.714
0.163,-0.444,0.664
0.152,-0.419,0.672
0.154,-0.361,0.689
0.167,-0.319,0.706
0.13,-0.218,0.696
0.122,-0.182,0.694
0.103,-0.103,0.697
0.102,-0.068,0.728
0.091,0.015,0.731
0.078,0.076,0.726
0.056,0.115,0.731
0.008,0.191,0.666
0.002,0.223,0.669
-0.015,0.308,0.66
-0.038,0.353,0.577
-0.094,0.43,0.536
-0.123,0.508,0.465
-0.177,0.549,0.432
-0.202,0.63,0.375
-0.256,0.67,0.354
-0.274,0.761,0.305
-0.326,0.813,0.252
-0.377,0.936,0.223
-0.4,1.015,0.162
-0.413,1.173,0.135
-0.407,1.249,0.114
-0.385,1.375,0.114
-0.366,1.423,0.107
-0.316,1.5,0.096
-0.29,1.546,0.055
-0.268,1.688,0.027
-0.251,1.875,-0.003
-0.198,1.973,-0.017
-0.029,2.139,-0.01
-0.015,2.209,0.046
0.144,2.323,0.081
0.22,2.378,0.148
0.363,2.482,0.179
0.435,2.559,0.23
0.59,2.59,0.25
0.669,2.74,0.296
0.825,2.643,0.323
0.904,2.645,0.389
1.052,2.626,0.425
1.114,2.602,0.485
1.221,2.589,0.519
1.26,2.569,0.569
1.32,2.552,0.597
1.334,2.508,0.65
1.339,2.476,0.668
1.333,2.393,0.703
1.282,2.348,0.711
1.25,2.274,0.715
1.161,2.224,0.706
1.112,2.135,0.701
0.992,2.07,0.697
0.931,1.95,0.692
0.805,1.895,0.695
0.732,1.797,0.691
0.592,1.782,0.69
0.526,1.72,0.656
0.412,1.674,0.648
0.37,1.625,0.653
