aX,aY,aZ
0.046,0.635,-0.716
0.035,0.636,-0.721
0.02,0.629,-0.716
0.237,-0.367,-1.218
-0.05,-0.316,-1.556
0.061,-0.378,-1.801
0.085,-0.302,-1.789
0.022,-0.204,-1.912
-0.102,-0.194,-1.952
-0.168,-0.203,-1.985
-0.189,-0.205,-1.993
-0.226,-0.2,-1.986
-0.231,-0.217,-1.961
-0.251,-0.241,-1.942
-0.258,-0.244,-1.905
-0.239,-0.235,-1.836
-0.258,-0.249,-1.829
-0.238,-0.368,-1.764
-0.184,-0.263,-1.724
-0.147,-0.301,-1.639
-0.122,-0.341,-1.703
-0.16,-0.126,-1.601
-0.094,-0.193,-1.499
-0.063,-0.225,-1.456
-0.071,-0.156,-1.423
-0.063,-0.124,-1.347
-0.044,-0.125,-1.314
-0.059,-0.083,-1.293
-0.064,-0.049,-1.244
-0.084,-0.038,-1.236
-0.107,-0.017,-1.228
-0.115,-0.001,-1.216
-0.122,-0.021,-1.222
-0.133,-0.031,-1.244
-0.153,-0.039,-1.257
-0.168,-0.06,-1.264
-0.174,-0.047,-1.286
-0.19,-0.055,-1.297
-0.204,-0.092,-1.318
-0.21,-0.092,-1.359
-0.182,-0.088,-1.374
-0.187,-0.081,-1.392
-0.193,-0.1,-1.402
-0.195,-0.1,-1.424
-0.197,-0.126,-1.476
-0.194,-0.103,-1.466
-0.208,-0.137,-1.469
-0.231,-0.158,-1.479
-0.217,-0.213,-1.485
-0.194,-0.251,-1.451
-0.201,-0.217,-1.442
-0.218,-0.221,-1.41
-0.226,-0.209,-1.377
-0.23,-0.173,-1.348
-0.209,-0.194,-1.328
-0.168,-0.176,-1.304
-0.153,-0.14,-1.264
-0.153,-0.124,-1.235
-0.148,-0.087,-1.233
-0.155,-0.09,-1.208
-0.164,-0.085,-1.203
-0.166,-0.022,-1.165
-0.167,-0.068,-1.192
-0.192,-0.072,-1.194
-0.17,-0.017,-1.164
-0.176,-0.013,-1.175
-0.169,-0.019,-1.194
-0.167,-0.023,-1.201
-0.175,-0.035,-1.207
-0.181,-0.026,-1.206
-0.185,-0.027,-1.227
-0.198,-0.031,-1.221
-0.183,-0.037,-1.238
-0.173,-0.048,-1.24
-0.172,-0.071,-1.255
-0.193,-0.074,-1.259
-0.202,-0.086,-1.262
-0.203,-0.102,-1.272
-0.199,-0.122,-1.273
-0.205,-0.145,-1.272
-0.191,-0.145,-1.276
-0.192,-0.165,-1.282
-0.198,-0.177,-1.282
-0.211,-0.186,-1.304
-0.218,-0.233,-1.282
-0.205,-0.236,-1.302
-0.217,-0.226,-1.303
-0.186,-0.233,-1.3
-0.174,-0.24,-1.28
-0.171,-0.243,-1.276
-0.153,-0.181,-1.274
-0.092,-0.167,-1.271
-0.089,-0.158,-1.292
-0.102,-0.133,-1.359
-0.085,-0.094,-1.359
-0.061,-0.066,-1.371
0.043,-0.165,-1.223
-0.079,0.014,-1.292
-0.076,-0.049,-1.41
-0.028,-0.104,-1.381
0.003,-0.12,-1.443
0.054,-0.14,-1.448
0.041,-0.18,-1.448
0.035,-0.203,-1.453
0.011,-0.233,-1.47
0.01,-0.253,-1.468
-0.018,-0.247,-1.494
-0.017,-0.263,-1.497
0.061,-0.324,-1.312
-0.081,-0.167,-1.488
-0.061,-0.193,-1.523
0.075,-0.281,-1.397
-0.003,-0.164,-1.444
-0.011,-0.181,-1.42
0,-0.144,-1.404
0.013,-0.12,-1.383
0.056,-0.092,-1.367
0.082,-0.039,-1.333
0.085,-0.029,-1.327
0.102,0.014,-1.312
0.093,0.02,-1.289
0.094,-0.002,-1.264
-0.226,0.453,1.319
-0.225,0.444,1.362
-0.202,0.442,1.387
-0.2,0.436,1.382
-0.195,0.432,1.4
-0.177,0.436,1.401
-0.169,0.416,1.369
-0.163,0.422,1.376
-0.131,0.44,1.363
-0.123,0.447,1.335
-0.12,0.459,1.31
-0.095,0.474,1.28
-0.079,0.481,1.273
-0.077,0.485,1.255
-0.075,0.498,1.246
-0.064,0.507,1.227
-0.074,0.513,1.216
-0.093,0.493,1.163
-0.09,0.487,1.154
-0.1,0.485,1.131
-0.115,0.477,1.114
-0.134,0.474,1.112
-0.136,0.479,1.105
-0.157,0.477,1.092
-0.16,0.476,1.086
-0.168,0.47,1.077
-0.175,0.466,1.072
-0.183,0.466,1.078
-0.181,0.463,1.083
-0.189,0.462,1.088
-0.186,0.459,1.09
-0.182,0.46,1.097
-0.185,0.466,1.098
-0.188,0.468,1.104
-0.193,0.475,1.108
-0.191,0.481,1.119
-0.197,0.488,1.123
-0.203,0.487,1.122
-0.203,0.486,1.128
-0.196,0.485,1.133
-0.193,0.484,1.133
-0.195,0.487,1.126
-0.205,0.491,1.123
-0.206,0.496,1.113
-0.211,0.499,1.108
-0.212,0.502,1.097
-0.213,0.503,1.091
-0.213,0.502,1.083
-0.214,0.503,1.071
-0.217,0.51,1.064
-0.222,0.513,1.051
-0.225,0.522,1.045
-0.227,0.522,1.031
-0.223,0.526,1.021
-0.225,0.523,1.006
-0.227,0.526,0.996
-0.228,0.531,0.989
-0.225,0.533,0.984
-0.225,0.536,0.975
-0.225,0.54,0.971
-0.223,0.545,0.966
-0.222,0.545,0.953
-0.22,0.543,0.949
-0.215,0.545,0.938
-0.205,0.557,0.931
-0.202,0.561,0.914
-0.198,0.566,0.902
-0.196,0.57,0.879
-0.193,0.578,0.869
-0.19,0.582,0.84
-0.18,0.593,0.823
-0.177,0.594,0.792
-0.168,0.596,0.776
-0.164,0.598,0.748
-0.156,0.607,0.732
-0.153,0.611,0.698
-0.148,0.613,0.68
