Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temperature
25-02-05 15:12,0.0337,0.022,0.9941,0.14,-0.7,17.85,15.918
25-02-05 15:12,0.0337,0.0254,0.9921,0.21,-0.7,0,15.9453
25-02-05 15:12,0.0332,0.0224,0.9945,0.21,-0.63,0,15.9883
25-02-05 15:12,0.0351,0.022,0.995,0.21,-0.56,0.07,15.9844
25-02-05 15:12,0.0351,0.0215,0.9941,0.14,-0.56,-0.07,15.9648
25-02-05 15:12,0.0327,0.0254,0.996,0.28,-0.56,0,15.9688
25-02-05 15:12,0.0332,0.0224,0.9965,0.28,-0.63,0,15.9766
25-02-05 15:12,0.0332,0.021,0.9941,0.35,-0.7,0,15.9219
25-02-05 15:12,0.0346,0.0224,0.9945,0.14,-0.49,-0.07,15.9961
25-02-05 15:12,0.0327,0.0229,0.9931,0.14,-0.7,0,15.9375
25-02-05 15:12,0.0346,0.0239,0.995,0.35,-0.77,0.07,16.0078
25-02-05 15:12,0.0322,0.0229,0.9936,0.21,-0.77,0,15.9375
25-02-05 15:12,0.0342,0.0234,0.9936,0.14,-0.35,-0.14,16.0078
25-02-05 15:12,0.0312,0.021,0.9965,0.35,-0.77,0.07,15.9805
25-02-05 15:12,0.0332,0.0224,0.997,0.28,-0.7,0.07,15.9688
25-02-05 15:12,0.0346,0.0239,0.9945,0.21,-0.63,0,15.9609
25-02-05 15:12,0.0317,0.0254,0.9945,0.14,-0.63,0.07,15.9688
25-02-05 15:12,0.0332,0.0229,0.9936,0.21,-0.49,0,15.8828
25-02-05 15:12,0.0337,0.0234,0.9921,0.28,-0.7,0,15.9492
25-02-05 15:12,0.0332,0.0229,0.9955,0.21,-0.56,0.07,15.9727
25-02-05 15:12,0.0337,0.022,0.9926,0.21,-0.7,0,15.9805
25-02-05 15:12,0.0346,0.0234,0.9931,0.21,-0.91,0,15.9805
25-02-05 15:12,0.0293,0.0239,0.9926,0.28,-0.63,0,15.9844
25-02-05 15:12,0.0332,0.022,0.9926,0.28,-0.7,-0.07,16.0508
25-02-05 15:12,0.0327,0.0239,0.9921,0.21,-0.77,-0.21,16.0039
25-02-05 15:12,0.0337,0.022,0.995,0.35,-0.77,0,16.0195
25-02-05 15:12,0.0332,0.0215,0.9936,0.21,-0.77,-0.07,16
25-02-05 15:12,0.0342,0.0215,0.9931,0.28,-0.49,0.07,16.0703
25-02-05 15:13,0.0337,0.0234,0.9921,0.35,-0.63,0.07,16.3242
25-02-05 15:13,0.0356,0.021,0.9936,0.21,-0.63,0,16.3594
25-02-05 15:14,0.0312,0.022,0.9945,0.28,-0.63,0.07,16.3945
25-02-05 15:14,0.0346,0.0239,0.996,0.28,-0.7,-0.07,16.4219
25-02-05 15:14,0.0322,0.0224,0.996,0.28,-0.63,0,16.3711
25-02-05 15:14,0.0351,0.0229,0.9945,0.28,-0.84,0,16.3359
25-02-05 15:14,0.0337,0.0244,0.9926,0.35,-0.7,0,16.3828
25-02-05 15:14,0.0317,0.0239,0.995,0.21,-0.56,0,16.4336
25-02-05 15:14,0.0312,0.0224,0.9955,0.21,-0.77,0.07,16.3672
25-02-05 15:14,0.0332,0.0234,0.9936,0.21,-0.7,0,16.3359
25-02-05 15:14,0.0317,0.0244,0.995,0.21,-0.63,0.07,16.3672
25-02-05 15:14,0.0356,0.0239,0.9916,0.28,-0.63,0.07,16.3594
